sciName,comName,speciesCode
Struthio camelus,Common Ostrich,ostric2
Struthio molybdophanes,Somali Ostrich,ostric3
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934
Rhea americana,Greater Rhea,grerhe1
Rhea pennata,Lesser Rhea,lesrhe2
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3
Nothocercus julius,Tawny-breasted Tinamou,tabtin1
Nothocercus bonapartei,Highland Tinamou,higtin1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3
Nothocercus nigrocapillus,Hooded Tinamou,hootin1
Tinamus tao,Gray Tinamou,grytin1
Tinamus solitarius,Solitary Tinamou,soltin1
Tinamus osgoodi,Black Tinamou,blatin1
Tinamus major,Great Tinamou,gretin1
Tinamus guttatus,White-throated Tinamou,whttin1
Tinamus sp.,Tinamus sp.,tinamu1
Crypturellus cinereus,Cinereous Tinamou,cintin1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1
Crypturellus soui,Little Tinamou,littin1
Crypturellus ptaritepui,Tepui Tinamou,teptin1
Crypturellus obsoletus,Brown Tinamou,brotin1
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2
Crypturellus undulatus,Undulated Tinamou,undtin1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1
Crypturellus strigulosus,Brazilian Tinamou,bratin1
Crypturellus duidae,Gray-legged Tinamou,gyltin1
Crypturellus erythropus,Red-legged Tinamou,reltin1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3
Crypturellus atrocapillus,Black-capped Tinamou,blctin1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1
Crypturellus kerriae,Choco Tinamou,chotin1
Crypturellus variegatus,Variegated Tinamou,vartin1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3
Crypturellus brevirostris,Rusty Tinamou,rustin1
Crypturellus bartletti,Bartlett's Tinamou,bartin2
Crypturellus parvirostris,Small-billed Tinamou,smbtin1
Crypturellus casiquiare,Barred Tinamou,bartin1
Crypturellus tataupa,Tataupa Tinamou,tattin1
Crypturellus sp.,Crypturellus sp.,cryptu1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1
Rhynchotus maculicollis,Huayco Tinamou,huatin1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1
Nothoprocta ornata,Ornate Tinamou,orntin1
Nothoprocta perdicaria,Chilean Tinamou,chitin1
Nothoprocta cinerascens,Brushland Tinamou,brutin1
Nothoprocta pentlandii,Andean Tinamou,andtin1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1
Nothoprocta sp.,Nothoprocta sp.,nothop1
Nothura boraquira,White-bellied Nothura,whbnot1
Nothura minor,Lesser Nothura,lesnot1
Nothura darwinii,Darwin's Nothura,darnot1
Nothura maculosa,Spotted Nothura,sponot1
Taoniscus nanus,Dwarf Tinamou,dwatin1
Eudromia elegans,Elegant Crested-Tinamou,elctin1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1
Tinamotis pentlandii,Puna Tinamou,puntin1
Tinamotis ingoufi,Patagonian Tinamou,pattin1
Tinamidae sp.,tinamou sp.,tinamo1
Casuarius casuarius,Southern Cassowary,soucas1
Casuarius bennetti,Dwarf Cassowary,dwacas1
Casuarius unappendiculatus,Northern Cassowary,norcas1
Dromaius novaehollandiae,Emu,emu1
Apteryx australis,Southern Brown Kiwi,sobkiw1
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3
Apteryx rowi,Okarito Brown Kiwi,okbkiw1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1
Apteryx owenii,Little Spotted Kiwi,liskiw1
Apteryx haastii,Great Spotted Kiwi,grskiw1
Anhima cornuta,Horned Screamer,horscr1
Chauna torquata,Southern Screamer,souscr1
Chauna chavaria,Northern Screamer,norscr1
Anseranas semipalmata,Magpie Goose,maggoo1
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc
Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (fulgens),bkbwhd1
Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (autumnalis),bkbwhd2
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc
Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),x00938
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1
Dendrocygna bicolor/javanica,Fulvous/Lesser Whistling-Duck,y01080
Dendrocygna sp.,whistling-duck sp.,whistl1
Thalassornis leuconotus,White-backed Duck,whbduc1
Anser indicus,Bar-headed Goose,bahgoo
Anser canagicus,Emperor Goose,empgoo
Anser caerulescens,Snow Goose,snogoo
Anser rossii,Ross's Goose,rosgoo
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1
Anser caerulescens/rossii,Snow/Ross's Goose,y00469
Anser anser,Graylag Goose,gragoo
Anser anser anser,Graylag Goose (European),gragoo2
Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3
Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1
Anser cygnoides,Swan Goose,swagoo1
Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2
Anser anser x cygnoides (Domestic type),Graylag x Swan Goose (Domestic type) (hybrid),x00776
Anser albifrons,Greater White-fronted Goose,gwfgoo
Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1
Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4
Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),gwfgoo2
Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627
Anser erythropus,Lesser White-fronted Goose,lwfgoo
Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707
Anser fabalis,Taiga Bean-Goose,taibeg1
Anser serrirostris,Tundra Bean-Goose,tunbeg1
Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468
Anser brachyrhynchus,Pink-footed Goose,pifgoo
Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1
Anser sp.,Anser sp.,anser1
Branta bernicla,Brant,brant
Branta bernicla bernicla,Brant (Dark-bellied),dabbra1
Branta bernicla hrota,Brant (Atlantic),atlbra1
Branta bernicla nigricans,Brant (Black),blkbra1
Branta bernicla (Gray-bellied),Brant (Gray-bellied),gybbra1
Branta bernicla hrota x nigricans,Brant (Atlantic x Black),brant1
Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685
Branta leucopsis,Barnacle Goose,bargoo
Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),x00756
Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),x00757
Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),x00649
Branta hutchinsii,Cackling Goose,cacgoo1
Branta hutchinsii leucopareia,Cackling Goose (Aleutian),alcgoo1
Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),ricgoo1
Branta hutchinsii minima,Cackling Goose (minima),cacgoo2
Branta hutchinsii taverneri,Cackling Goose (Taverner's),tacgoo1
Anser canagicus x Branta hutchinsii,Emperor x Cackling Goose (hybrid),x00831
Anser caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),x00692
Anser rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),x00694
Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),x00722
Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),x00414
Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),x00416
Branta canadensis,Canada Goose,cangoo
Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),cangoo4
Branta canadensis occidentalis/fulva,Canada Goose (occidentalis/fulva),cangoo3
Branta canadensis [canadensis Group],Canada Goose (canadensis Group),cangoo1
Anser indicus x Branta canadensis,Bar-headed x Canada Goose (hybrid),x00908
Anser cygnoides (Domestic type) x Branta canadensis,Swan Goose (Domestic type) x Canada Goose (hybrid),swagoo3
Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),x00650
Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),x00415
Anser anser x Branta canadensis,Graylag x Canada Goose (hybrid),x00758
